day_week,number_pair,pair_type,id_class,id_type_class,id_audience,id_teacher,id_group
1,1,1,182,2,7,11,32
1,1,2,98,2,11,21,28
1,2,1,123,2,13,3,33
1,2,1,123,2,13,3,34
1,2,2,108,2,11,21,28
1,2,2,108,2,11,21,29
1,2,2,150,2,9,1,35
1,2,3,72,2,14,12,24
1,2,3,94,2,12,11,32
1,3,1,32,2,12,3,8
1,3,1,32,2,12,3,17
1,3,1,114,2,9,20,27
1,3,1,143,2,14,27,36
1,3,1,183,2,13,11,33
1,3,1,183,2,13,11,34
1,3,2,5,2,9,3,1
1,3,2,5,2,9,3,2
1,3,2,98,2,11,21,28
1,3,2,153,2,14,11,36
1,3,3,177,2,16,15,40
1,4,1,39,2,11,8,8
1,4,1,39,2,11,8,17
1,4,1,124,1,7,23,27
1,4,1,124,1,7,23,28
1,4,1,124,1,7,23,29
1,4,1,124,1,7,23,30
1,4,1,124,1,7,23,31
1,4,3,22,2,12,11,2
1,4,3,22,2,12,11,4
1,4,3,22,2,12,11,13
1,4,3,22,2,12,11,14
1,4,3,79,2,9,20,25
1,4,3,79,2,9,20,26
1,5,1,67,1,8,10,19
1,5,1,67,1,8,10,20
1,5,1,67,1,8,10,21
1,5,1,67,1,8,10,22
1,5,1,67,1,8,10,23
1,5,3,25,2,12,5,2
1,5,3,25,2,12,5,4
1,5,3,25,2,12,5,10
1,5,3,25,2,12,5,13
1,5,3,30,1,7,6,8
1,5,3,30,1,7,6,15
1,5,3,30,1,7,6,16
1,5,3,30,1,7,6,17
1,5,3,120,2,13,20,30
1,5,3,120,2,13,20,31
1,5,3,140,2,9,17,37
1,5,3,140,2,9,17,38
1,6,1,109,2,11,21,30
1,6,1,109,2,11,21,31
1,6,3,17,1,7,10,2
1,6,3,17,1,7,10,4
1,6,3,17,1,7,10,9
1,6,3,17,1,7,10,10
1,6,3,17,1,7,10,11
1,6,3,17,1,7,10,12
1,6,3,17,1,7,10,13
1,6,3,36,1,13,13,8
1,6,3,36,1,13,13,18
1,6,3,51,2,12,17,22
1,6,3,51,2,12,17,23
2,1,1,89,1,8,25,27
2,1,1,89,1,8,25,28
